source,group,function,value,full_id,criterion_path,n_samples,mean_ns,ci_lo_ns,ci_hi_ns
aws,batch_verify_encval,individual,100,batch_verify_encval/individual/100,batch_verify_encval/individual/100,50,17918337.848551538,17831694.386813033,18018865.651375216
aws,batch_verify_encval,individual,25,batch_verify_encval/individual/25,batch_verify_encval/individual/25,50,4445652.2499586055,4421743.095505068,4471443.64769809
aws,batch_verify_encval,individual,50,batch_verify_encval/individual/50,batch_verify_encval/individual/50,50,8936013.261985326,8884206.834038014,8983141.489805711
aws,batch_verify_rep,batch,1,batch_verify_rep/batch/1,batch_verify_rep/batch/1,50,58059.37411051057,57800.30072986962,58326.168383415
aws,batch_verify_rep,batch,10,batch_verify_rep/batch/10,batch_verify_rep/batch/10,50,430741.474592896,429205.79322244646,432286.6123943492
aws,batch_verify_rep,batch,100,batch_verify_rep/batch/100,batch_verify_rep/batch/100,50,3699925.1162415366,3689504.4675416127,3710373.1940653515
aws,batch_verify_rep,batch,25,batch_verify_rep/batch/25,batch_verify_rep/batch/25,50,1044394.1546355915,1040173.0666114502,1048246.9528718161
aws,batch_verify_rep,batch,50,batch_verify_rep/batch/50,batch_verify_rep/batch/50,50,2011688.1306283902,2002927.6425672777,2020604.0651447389
aws,batch_verify_rep,individual,1,batch_verify_rep/individual/1,batch_verify_rep/individual/1,50,80829.29701987782,80410.60901660348,81241.57365594844
aws,batch_verify_rep,individual,10,batch_verify_rep/individual/10,batch_verify_rep/individual/10,50,797214.9764033617,794134.0260473591,800391.8781547622
aws,batch_verify_rep,individual,100,batch_verify_rep/individual/100,batch_verify_rep/individual/100,50,8166489.587301561,8123926.222302879,8211302.6770188315
aws,batch_verify_rep,individual,25,batch_verify_rep/individual/25,batch_verify_rep/individual/25,50,2027313.4169062262,2015851.3732018936,2039145.1963786744
aws,batch_verify_rep,individual,50,batch_verify_rep/individual/50,batch_verify_rep/individual/50,50,4041417.0542884283,4024676.069227899,4058149.794141403
aws,bit_vector,prove,12,bit_vector/prove/12,bit_vector/prove/12,100,503790.6256941963,501615.95695056795,506018.1901561577
aws,bit_vector,prove,16,bit_vector/prove/16,bit_vector/prove/16,100,636840.5990027122,633930.7284599412,639846.4574632384
aws,bit_vector,prove,24,bit_vector/prove/24,bit_vector/prove/24,100,895894.7522906449,892437.2128633977,899370.4470799202
aws,bit_vector,prove,32,bit_vector/prove/32,bit_vector/prove/32,100,1163242.519624681,1159059.3390607343,1167496.7219802053
aws,bit_vector,prove,4,bit_vector/prove/4,bit_vector/prove/4,100,243299.54092420015,242359.6593882013,244330.1748585954
aws,bit_vector,prove,48,bit_vector/prove/48,bit_vector/prove/48,100,1730005.8925956383,1698620.5436821878,1770187.692932929
aws,bit_vector,prove,5,bit_vector/prove/5,bit_vector/prove/5,100,274458.83740119735,273061.9459666384,275918.9702056295
aws,bit_vector,prove,64,bit_vector/prove/64,bit_vector/prove/64,100,2202541.5219210153,2192689.2698983597,2212925.1872140365
aws,bit_vector,prove,8,bit_vector/prove/8,bit_vector/prove/8,100,375002.7749558493,373431.23927797086,376713.4546019447
